Region;year;quarter;total;18-24;25-34;35-44;45-54;55+
Dolnoslaskie;2025;1;59416;6513;12888;15803;14113;10099
Kujawsko-pomorskie;2025;1;57163;7983;13879;14728;12339;8234
Lubelskie;2025;1;57353;8556;14582;14565;11614;8036
Lubuskie;2025;1;17349;2089;3807;4522;4030;2901
Lodzkie;2025;1;57109;6095;12212;14723;14067;10012
Malopolskie;2025;1;64294;9620;15701;16038;12957;9978
Mazowieckie;2025;1;113866;12934;25987;29746;26486;18713
Opolskie;2025;1;20813;2396;4656;5274;4527;3960
Podkarpackie;2025;1;69031;9592;17403;17851;13832;10353
Podlaskie;2025;1;31185;3727;7480;8250;6528;5200
Pomorskie;2025;1;45965;6434;11177;11794;9832;6728
Slaskie;2025;1;68730;8390;14857;18425;16024;11034
Swietokrzyskie;2025;1;33316;4377;8025;8653;7130;5131
Warminsko-mazurskie;2025;1;41016;5451;9382;10378;8758;7047
Wielkopolskie;2025;1;51229;7756;12000;12883;10834;7756
Zachodniopomorskie;2025;1;42038;4685;9311;11016;9750;7276
Dolnoslaskie;2024;4;55474;5887;11729;14743;13265;9850
Kujawsko-pomorskie;2024;4;55333;7860;13305;14276;11865;8027
Lubelskie;2024;4;55774;8528;14070;14073;11219;7884
Lubuskie;2024;4;15926;1932;3467;4066;3688;2773
Lodzkie;2024;4;53336;5715;11055;13730;13213;9623
Malopolskie;2024;4;60654;9208;14382;14987;12288;9789
Mazowieckie;2024;4;109020;12394;24560;28382;25408;18276
Opolskie;2024;4;19997;2240;4380;4964;4390;4023
Podkarpackie;2024;4;67336;9732;16821;17222;13370;10191
Podlaskie;2024;4;30354;3742;7257;7961;6283;5111
Pomorskie;2024;4;42924;6127;10174;10950;9225;6448
Slaskie;2024;4;62583;7274;13401;16605;14691;10612
Swietokrzyskie;2024;4;32289;4427;7776;8177;6834;5075
Warminsko-mazurskie;2024;4;38879;5214;8766;9735;8326;6838
Wielkopolskie;2024;4;46625;7245;10628;11584;9924;7244
Zachodniopomorskie;2024;4;39675;4330;8652;10428;9185;7080
Dolnoslaskie;2024;3;54798;6070;12045;14566;12607;9510
Kujawsko-pomorskie;2024;3;52645;7645;12975;13598;10942;7485
Lubelskie;2024;3;53628;8489;13621;13617;10414;7487
Lubuskie;2024;3;15385;1912;3503;4003;3457;2510
Lodzkie;2024;3;53165;6006;11353;13758;12688;9360
Malopolskie;2024;3;59849;9483;14484;14935;11633;9314
Mazowieckie;2024;3;109607;12955;25578;28537;24634;17903
Opolskie;2024;3;19368;2282;4394;4844;4095;3753
Podkarpackie;2024;3;64702;9418;16528;16659;12554;9543
Podlaskie;2024;3;29919;3784;7277;7772;6066;5020
Pomorskie;2024;3;41840;5928;10323;10764;8620;6205
Slaskie;2024;3;62429;7537;13865;16582;14215;10230
Swietokrzyskie;2024;3;31421;4506;7735;7946;6383;4851
Warminsko-mazurskie;2024;3;36281;5049;8467;9141;7486;6138
Wielkopolskie;2024;3;46221;7468;11032;11543;9292;6886
Zachodniopomorskie;2024;3;38326;4463;8729;9993;8579;6562
Dolnoslaskie;2024;2;53915;5497;11865;14351;12531;9671
Kujawsko-pomorskie;2024;2;52581;7100;13036;13705;11101;7639
Lubelskie;2024;2;54236;7902;14068;13842;10642;7782
Lubuskie;2024;2;15226;1669;3517;4091;3370;2579
Lodzkie;2024;2;52564;5434;11369;13610;12611;9540
Malopolskie;2024;2;59306;8310;14543;15153;11922;9378
Mazowieckie;2024;2;108502;12048;25401;28603;24350;18100
Opolskie;2024;2;19058;2006;4378;4835;4068;3771
Podkarpackie;2024;2;63814;8392;16348;16632;12771;9671
Podlaskie;2024;2;29498;3446;7237;7664;6017;5134
Pomorskie;2024;2;41535;5325;10372;10861;8603;6374
Slaskie;2024;2;61611;6732;13720;16567;14284;10308
Swietokrzyskie;2024;2;30958;4070;7585;7905;6528;4870
Warminsko-mazurskie;2024;2;35683;4435;8428;9075;7470;6275
Wielkopolskie;2024;2;45632;6566;11114;11651;9313;6988
Zachodniopomorskie;2024;2;38042;3992;8814;10028;8486;6722
Dolnoslaskie;2024;1;57035;5968;12558;15230;13056;10223
Kujawsko-pomorskie;2024;1;56239;7717;14037;14608;11778;8099
Lubelskie;2024;1;58369;8664;15262;14706;11374;8363
Lubuskie;2024;1;16551;1953;3892;4330;3615;2761
Lodzkie;2024;1;55835;5998;12272;14476;13119;9970
Malopolskie;2024;1;64470;9674;15983;16070;12649;10094
Mazowieckie;2024;1;114766;13094;27009;30302;25404;18957
Opolskie;2024;1;20373;2301;4716;5139;4212;4005
Podkarpackie;2024;1;68399;9536;17449;17478;13539;10397
Podlaskie;2024;1;31361;3837;7775;8097;6315;5337
Pomorskie;2024;1;45792;6561;11729;11734;9095;6673
Slaskie;2024;1;67030;7734;15287;17923;15092;10994
Swietokrzyskie;2024;1;33589;4446;8334;8567;6999;5243
Warminsko-mazurskie;2024;1;40622;5292;9725;10176;8444;6985
Wielkopolskie;2024;1;50234;7781;12240;12698;9992;7523
Zachodniopomorskie;2024;1;41512;4644;9600;10756;9176;7336
Dolnoslaskie;2023;4;52970;5272;11520;14123;12112;9943
