Region;year;quarter;total;tertiary;post_secondary_vocational;general_secondary;basic_vocational;primary_lower_secondary
Dolnoslaskie;2025;1;59416;8433;12471;6971;14449;17092
Kujawsko-pomorskie;2025;1;57163;5368;11917;7146;15287;17445
Lubelskie;2025;1;57353;8967;14400;7892;12698;13396
Lubuskie;2025;1;17349;2039;3586;2012;4661;5051
Lodzkie;2025;1;57109;7647;11565;8086;11895;17916
Malopolskie;2025;1;64294;11569;15399;7879;16514;12933
Mazowieckie;2025;1;113866;20275;24191;15498;23766;30136
Opolskie;2025;1;20813;2610;4341;2438;5528;5896
Podkarpackie;2025;1;69031;10738;18815;8312;18566;12600
Podlaskie;2025;1;31185;4717;7140;4158;6587;8583
Pomorskie;2025;1;45965;7152;9472;6218;11239;11884
Slaskie;2025;1;68730;11070;16202;8009;15979;17470
Swietokrzyskie;2025;1;33316;5666;8848;4077;8394;6331
Warminsko-mazurskie;2025;1;41016;3955;7896;5206;10897;13062
Wielkopolskie;2025;1;51229;7197;11320;5979;14655;12078
Zachodniopomorskie;2025;1;42038;5068;7755;5824;10206;13185
Dolnoslaskie;2024;4;55474;7892;11631;6378;13777;15796
Kujawsko-pomorskie;2024;4;55333;5111;11568;6735;14966;16953
Lubelskie;2024;4;55774;8816;14167;7519;12344;12928
Lubuskie;2024;4;15926;1888;3274;1824;4362;4578
Lodzkie;2024;4;53336;7208;10863;7404;11372;16489
Malopolskie;2024;4;60654;10925;14534;7280;15716;12199
Mazowieckie;2024;4;109020;19248;23397;14598;23009;28768
Opolskie;2024;4;19997;2565;4123;2289;5376;5644
Podkarpackie;2024;4;67336;10658;18363;7906;18305;12104
Podlaskie;2024;4;30354;4696;6981;3964;6418;8295
Pomorskie;2024;4;42924;6494;8938;5671;10707;11114
Slaskie;2024;4;62583;10159;14549;7188;14796;15891
Swietokrzyskie;2024;4;32289;5540;8656;3868;8149;6076
Warminsko-mazurskie;2024;4;38879;3768;7554;4861;10331;12365
Wielkopolskie;2024;4;46625;6487;10412;5424;13457;10845
Zachodniopomorskie;2024;4;39675;4754;7405;5378;9712;12426
Dolnoslaskie;2024;3;54798;7916;11804;6460;13202;15416
Kujawsko-pomorskie;2024;3;52645;5118;11229;6626;13981;15691
Lubelskie;2024;3;53628;8673;13774;7397;11544;12240
Lubuskie;2024;3;15385;1911;3224;1838;4087;4325
Lodzkie;2024;3;53165;7252;10960;7640;11035;16278
Malopolskie;2024;3;59849;10846;14639;7449;14960;11955
Mazowieckie;2024;3;109607;19783;23796;15092;22531;28405
Opolskie;2024;3;19368;2433;3981;2305;5172;5477
Podkarpackie;2024;3;64702;10535;17695;7893;17109;11470
Podlaskie;2024;3;29919;4713;6904;4059;6194;8049
Pomorskie;2024;3;41840;6593;8746;5606;10226;10669
Slaskie;2024;3;62429;10300;14613;7307;14506;15703
Swietokrzyskie;2024;3;31421;5589;8483;3887;7721;5741
Warminsko-mazurskie;2024;3;36281;3751;7125;4659;9410;11336
Wielkopolskie;2024;3;46221;6733;10458;5511;13023;10496
Zachodniopomorskie;2024;3;38326;4801;7161;5323;9166;11875
Dolnoslaskie;2024;2;53915;7494;11308;6260;13273;15580
Kujawsko-pomorskie;2024;2;52581;4920;11036;6522;13993;16110
Lubelskie;2024;2;54236;8527;13661;7533;11803;12712
Lubuskie;2024;2;15226;1837;3115;1809;4068;4397
Lodzkie;2024;2;52564;7061;10578;7431;10984;16510
Malopolskie;2024;2;59306;10629;14168;7272;14780;12457
Mazowieckie;2024;2;108502;19115;23381;14720;22523;28763
Opolskie;2024;2;19058;2390;3800;2248;5094;5526
Podkarpackie;2024;2;63814;10029;17210;7601;17222;11752
Podlaskie;2024;2;29498;4372;6758;3941;6223;8204
Pomorskie;2024;2;41535;6442;8480;5625;10198;10790
Slaskie;2024;2;61611;9685;14040;7068;14748;16070
Swietokrzyskie;2024;2;30958;5196;8257;3859;7717;5929
Warminsko-mazurskie;2024;2;35683;3596;6989;4477;9210;11411
Wielkopolskie;2024;2;45632;6580;10136;5229;12963;10724
Zachodniopomorskie;2024;2;38042;4536;6999;5224;9164;12119
Dolnoslaskie;2024;1;57035;7704;11756;6485;14193;16897
Kujawsko-pomorskie;2024;1;56239;5182;11492;6808;15403;17354
Lubelskie;2024;1;58369;8914;14597;7983;13029;13846
Lubuskie;2024;1;16551;1943;3343;1917;4488;4860
Lodzkie;2024;1;55835;7486;11332;7686;11898;17433
Malopolskie;2024;1;64470;11240;15428;7671;16564;13567
Mazowieckie;2024;1;114766;19939;24671;15091;24414;30651
Opolskie;2024;1;20373;2411;3990;2387;5599;5986
Podkarpackie;2024;1;68399;10575;18417;8016;18768;12623
Podlaskie;2024;1;31361;4601;7172;4122;6777;8689
Pomorskie;2024;1;45792;6973;9386;6273;11252;11908
Slaskie;2024;1;67030;10508;15435;7603;16010;17474
Swietokrzyskie;2024;1;33589;5677;8925;3997;8558;6432
Warminsko-mazurskie;2024;1;40622;3918;7861;5061;10680;13102
Wielkopolskie;2024;1;50234;6980;11051;5726;14656;11821
Zachodniopomorskie;2024;1;41512;4875;7627;5602;10129;13279
Dolnoslaskie;2023;4;52970;7040;10999;5888;13338;15705
Kujawsko-pomorskie;2023;4;54376;4839;11173;6381;15117;16866
Lubelskie;2023;4;57386;8900;14334;7686;12916;13550
Lubuskie;2023;4;15379;1839;3072;1747;4275;4446
Lodzkie;2023;4;53158;7066;10817;7139;11579;16557
Malopolskie;2023;4;60947;10471;14687;7069;15933;12787
Mazowieckie;2023;4;110526;19022;23899;14337;23869;29399
Opolskie;2023;4;20309;2447;4046;2313;5632;5871
Podkarpackie;2023;4;67653;10387;18204;7914;18728;12420
Podlaskie;2023;4;30992;4655;7141;3979;6797;8420
Pomorskie;2023;4;42807;6283;8894;5754;10686;11190
Slaskie;2023;4;62445;9710;14322;6904;15072;16437
Swietokrzyskie;2023;4;33724;5727;9023;4019;8601;6354
Warminsko-mazurskie;2023;4;39317;3773;7566;4839;10370;12769
Wielkopolskie;2023;4;46531;6410;10243;5237;13758;10883
Zachodniopomorskie;2023;4;39709;4680;7331;5259;9721;12718
Dolnoslaskie;2023;3;52273;7068;11101;5931;12933;15240
Kujawsko-pomorskie;2023;3;52427;4967;11112;6388;14293;15667
Lubelskie;2023;3;55214;8830;13809;7493;12147;12935
Lubuskie;2023;3;15358;1953;3217;1738;4121;4329
Lodzkie;2023;3;53555;7260;10996;7331;11445;16523
Malopolskie;2023;3;60427;10588;14844;7248;15155;12592
Mazowieckie;2023;3;111381;19552;24589;14801;23433;29006
Opolskie;2023;3;19623;2391;3951;2262;5369;5650
Podkarpackie;2023;3;64746;10424;17458;7736;17408;11720
Podlaskie;2023;3;30171;4606;7014;3939;6473;8139
Pomorskie;2023;3;42151;6398;8886;5727;10410;10730
Slaskie;2023;3;63497;10154;14861;7190;15077;16215
Swietokrzyskie;2023;3;32730;5696;8761;4043;8125;6105
Warminsko-mazurskie;2023;3;37462;3832;7327;4796;9658;11849
Wielkopolskie;2023;3;46799;6634;10499;5461;13371;10834
Zachodniopomorskie;2023;3;38173;4776;7232;5182;9109;11874
Dolnoslaskie;2023;2;52565;6824;11031;5954;13153;15603
Kujawsko-pomorskie;2023;2;53844;4994;11269;6487;14671;16423
Lubelskie;2023;2;56552;8538;14172;7802;12524;13516
Lubuskie;2023;2;15000;1742;3139;1685;4082;4352
Lodzkie;2023;2;55091;7482;11096;7555;11740;17218
Malopolskie;2023;2;61470;10550;14752;7370;15373;13425
Mazowieckie;2023;2;110693;18917;24279;14255;23712;29530
Opolskie;2023;2;20867;2582;4202;2451;5689;5943
Podkarpackie;2023;2;65064;10165;17528;7763;17545;12063
Podlaskie;2023;2;30356;4542;7000;3938;6566;8310
Pomorskie;2023;2;41091;5966;8377;5581;10314;10853
Slaskie;2023;2;63906;10001;14821;7080;15287;16717
Swietokrzyskie;2023;2;33450;5661;8855;4086;8371;6477
Warminsko-mazurskie;2023;2;38907;3896;7656;4962;9979;12414
Wielkopolskie;2023;2;46464;6470;10322;5340;13151;11181
Zachodniopomorskie;2023;2;38200;4469;7172;5107;9306;12146
Dolnoslaskie;2023;1;56607;7153;11641;6282;14421;17110
Kujawsko-pomorskie;2023;1;58087;5334;11775;6804;16013;18161
Lubelskie;2023;1;62094;9357;15342;8406;14027;14962
Lubuskie;2023;1;16758;1905;3484;1863;4620;4886
Lodzkie;2023;1;57352;7531;11439;7585;12656;18141
Malopolskie;2023;1;67769;11361;16153;7899;17406;14950
Mazowieckie;2023;1;119319;20447;25780;15234;25752;32106
Opolskie;2023;1;21675;2536;4317;2474;5987;6361
Podkarpackie;2023;1;70333;10718;18635;8227;19482;13271
Podlaskie;2023;1;32104;4792;7278;4092;7010;8932
Pomorskie;2023;1;45573;6539;9269;6143;11577;12045
Slaskie;2023;1;68678;10563;15754;7656;16657;18048
Swietokrzyskie;2023;1;35260;5922;9186;4149;9020;6983
Warminsko-mazurskie;2023;1;43332;4057;8418;5472;11254;14131
