Region;year;quarter;total;women;men;ineligible;not_previously_employed;previously_employed;unemployed_for_over_ a_year;rural_residents;city_residents
Dolnoslaskie;2025;1;59416;29965;29451;4839;54577;49951;21106;22222;37194
Kujawsko-pomorskie;2025;1;57163;31775;25388;6001;51162;47419;23007;27590;29573
Lubelskie;2025;1;57353;27404;29949;9777;47576;50495;23601;31393;25960
Lubuskie;2025;1;17349;8932;8417;1647;15702;14383;4448;6955;10394
Lodzkie;2025;1;57109;27937;29172;4867;52242;48614;22085;19115;37994
Malopolskie;2025;1;64294;33286;31008;8245;56049;54833;22245;33799;30495
Mazowieckie;2025;1;113866;54313;59553;15691;98175;96248;45941;51093;62773
Opolskie;2025;1;20813;10884;9929;1798;19015;17748;7910;9262;11551
Podkarpackie;2025;1;69031;34451;34580;8648;60383;57949;30623;43323;25708
Podlaskie;2025;1;31185;13432;17753;4588;26597;27382;13778;11823;19362
Pomorskie;2025;1;45965;26099;19866;4365;41600;38310;15016;19861;26104
Slaskie;2025;1;68730;35373;33357;7277;61453;57919;19271;16516;52214
Swietokrzyskie;2025;1;33316;15973;17343;4401;28915;28293;12565;17507;15809
Warminsko-mazurskie;2025;1;41016;20934;20082;4143;36873;33300;13938;21183;19833
Wielkopolskie;2025;1;51229;28775;22454;4647;46582;42397;14439;23942;27287
Zachodniopomorskie;2025;1;42038;22003;20035;4561;37477;35727;15397;17274;24764
Dolnoslaskie;2024;4;55474;28265;27209;46513;4752;50722;20513;20947;34527
Kujawsko-pomorskie;2024;4;55333;31116;24217;46094;6278;49055;22410;27124;28209
Lubelskie;2024;4;55774;27135;28639;49263;10102;45672;23382;30807;24967
Lubuskie;2024;4;15926;8480;7446;13204;1576;14350;4294;6629;9297
Lodzkie;2024;4;53336;26494;26842;45350;4910;48426;21280;17914;35422
Malopolskie;2024;4;60654;31958;28696;51631;8184;52470;21433;32193;28461
Mazowieckie;2024;4;109020;52680;56340;91838;15851;93169;44914;49366;59654
Opolskie;2024;4;19997;10656;9341;16964;1833;18164;7907;8944;11053
Podkarpackie;2024;4;67336;33994;33342;56672;8962;58374;30156;42647;24689
Podlaskie;2024;4;30354;13186;17168;26544;4663;25691;13616;11588;18766
Pomorskie;2024;4;42924;24919;18005;35908;4318;38606;14596;18972;23952
Slaskie;2024;4;62583;32689;29894;52794;7011;55572;18856;15297;47286
Swietokrzyskie;2024;4;32289;15902;16387;27378;4524;27765;12511;17238;15051
Warminsko-mazurskie;2024;4;38879;20383;18496;31545;4238;34641;13481;20424;18455
Wielkopolskie;2024;4;46625;26732;19893;38619;4671;41954;13879;22096;24529
Zachodniopomorskie;2024;4;39675;21217;18458;33723;4425;35250;14824;16762;22913
Dolnoslaskie;2024;3;54798;28381;26417;4928;49870;46074;20309;20581;34217
Kujawsko-pomorskie;2024;3;52645;29992;22653;6302;46343;43810;21639;25763;26882
Lubelskie;2024;3;53628;26688;26940;10195;43433;47786;23161;29145;24483
Lubuskie;2024;3;15385;8298;7087;1633;13752;12830;4231;6279;9106
Lodzkie;2024;3;53165;26615;26550;5137;48028;45645;21109;17586;35579
Malopolskie;2024;3;59849;32199;27650;8719;51130;51541;21149;31646;28203
Mazowieckie;2024;3;109607;53993;55614;16409;93198;92797;44783;49353;60254
Opolskie;2024;3;19368;10558;8810;1911;17457;16568;7789;8678;10690
Podkarpackie;2024;3;64702;33226;31476;9083;55619;54914;29643;40558;24144
Podlaskie;2024;3;29919;13229;16690;4804;25115;26238;13480;11349;18570
Pomorskie;2024;3;41840;24648;17192;4396;37444;35009;14581;18223;23617
Slaskie;2024;3;62429;33248;29181;7194;55235;52976;19008;14867;47562
Swietokrzyskie;2024;3;31421;15860;15561;4745;26676;26741;12305;16515;14906
Warminsko-mazurskie;2024;3;36281;19289;16992;4202;32079;29672;13056;18744;17537
Wielkopolskie;2024;3;46221;26615;19606;4898;41323;38454;13782;21754;24467
Zachodniopomorskie;2024;3;38326;20745;17581;4557;33769;32748;14670;15757;22569
Dolnoslaskie;2024;2;53915;27769;26146;4548;49367;44959;20223;20226;33689
Kujawsko-pomorskie;2024;2;52581;30011;22570;6041;46540;43643;21637;25678;26903
Lubelskie;2024;2;54236;26759;27477;9825;44411;48033;23571;29325;24911
Lubuskie;2024;2;15226;8145;7081;1496;13730;12583;4235;6264;8962
Lodzkie;2024;2;52564;26380;26184;4737;47827;45030;21043;17301;35263
Malopolskie;2024;2;59306;31810;27496;8209;51097;50522;21354;30957;28349
Mazowieckie;2024;2;108502;53022;55480;15770;92732;91757;44701;48554;59948
Opolskie;2024;2;19058;10346;8712;1751;17307;16308;7841;8561;10497
Podkarpackie;2024;2;63814;32664;31150;8258;55556;53868;29692;40012;23802
Podlaskie;2024;2;29498;12916;16582;4563;24935;25674;13426;11150;18348
Pomorskie;2024;2;41535;24459;17076;4094;37441;34313;14700;18066;23469
Slaskie;2024;2;61611;32434;29177;6666;54945;52416;19291;14710;46901
Swietokrzyskie;2024;2;30958;15367;15591;4456;26502;26038;12310;16338;14620
Warminsko-mazurskie;2024;2;35683;18727;16956;3783;31900;28943;13016;18358;17325
Wielkopolskie;2024;2;45632;26310;19322;4465;41167;37642;13762;21481;24151
Zachodniopomorskie;2024;2;38042;20507;17535;4332;33710;32467;14654;15630;22412
Dolnoslaskie;2024;1;57035;29198;27837;4668;52367;48166;20719;21292;35743
Kujawsko-pomorskie;2024;1;56239;31781;24458;6102;50137;46706;22117;27512;28727
Lubelskie;2024;1;58369;28445;29924;10455;47914;51720;24772;31814;26555
Lubuskie;2024;1;16551;8806;7745;1645;14906;13800;4324;6870;9681
Lodzkie;2024;1;55835;27822;28013;4915;50920;48139;21426;18834;37001
Malopolskie;2024;1;64470;34162;30308;8722;55748;55347;22404;34091;30379
Mazowieckie;2024;1;114766;55772;58994;16333;98433;97612;46240;51743;63023
Opolskie;2024;1;20373;10980;9393;1845;18528;17581;8085;9228;11145
Podkarpackie;2024;1;68399;34582;33817;8752;59647;57917;30449;43193;25206
Podlaskie;2024;1;31361;13643;17718;4714;26647;27254;13702;11819;19542
Pomorskie;2024;1;45792;26863;18929;4445;41347;38337;15173;20314;25478
Slaskie;2024;1;67030;35379;31651;7191;59839;57735;20045;16066;50964
Swietokrzyskie;2024;1;33589;16598;16991;4609;28980;28113;12897;17849;15740
Warminsko-mazurskie;2024;1;40622;21303;19319;4137;36485;32963;13737;21199;19423
Wielkopolskie;2024;1;50234;28737;21497;4721;45513;41787;14237;23823;26411
Zachodniopomorskie;2024;1;41512;22165;19347;4637;36875;35506;15177;17054;24458
Dolnoslaskie;2023;4;52970;27452;25518;44815;4599;48371;20237;20396;32574
Kujawsko-pomorskie;2023;4;54376;31290;23086;45121;6289;48087;21574;26853;27523
Lubelskie;2023;4;57386;28316;29070;50721;10812;46574;24734;31809;25577
Lubuskie;2023;4;15379;8371;7008;12731;1590;13789;4199;6494;8885
Lodzkie;2023;4;53158;26770;26388;45878;5106;48052;20850;18450;34708
Malopolskie;2023;4;60947;33010;27937;52293;8894;52053;21784;32800;28147
Mazowieckie;2023;4;110526;54274;56252;93751;16469;94057;45695;50984;59542
Opolskie;2023;4;20309;11110;9199;17562;1977;18332;7929;9177;11132
Podkarpackie;2023;4;67653;34679;32974;57251;9166;58487;30235;43028;24625
Podlaskie;2023;4;30992;13788;17204;26827;4827;26165;13480;11963;19029
Pomorskie;2023;4;42807;25554;17253;35746;4502;38305;14598;19344;23463
Slaskie;2023;4;62445;33577;28868;53603;7153;55292;19475;15165;47280
Swietokrzyskie;2023;4;33724;17048;16676;28041;4916;28808;12783;18200;15524
Warminsko-mazurskie;2023;4;39317;20986;18331;31781;4328;34989;13497;20683;18634
Wielkopolskie;2023;4;46531;27191;19340;38608;4707;41824;13777;22240;24291
Zachodniopomorskie;2023;4;39709;21520;18189;33780;4594;35115;14891;16666;23043
Dolnoslaskie;2023;3;52273;27592;24681;4855;47418;44402;20147;20010;32263
Kujawsko-pomorskie;2023;3;52427;30749;21678;6551;45876;43719;21165;25782;26645
Lubelskie;2023;3;55214;27986;27228;10765;44449;49331;24807;30037;25177
Lubuskie;2023;3;15358;8543;6815;1757;13601;12871;4237;6380;8978
Lodzkie;2023;3;53555;27178;26377;5359;48196;46351;21212;18230;35325
Malopolskie;2023;3;60427;33577;26850;9276;51151;52521;22658;32193;28234
Mazowieckie;2023;3;111381;55872;55509;17349;94032;95052;45930;50682;60699
Opolskie;2023;3;19623;10923;8700;1969;17654;17011;7937;8815;10808
Podkarpackie;2023;3;64746;34036;30710;9309;55437;55279;30018;40511;24235
Podlaskie;2023;3;30171;13704;16467;4904;25267;26409;13372;11554;18617
Pomorskie;2023;3;42151;25359;16792;4678;37473;35606;14572;18958;23193
Slaskie;2023;3;63497;34857;28640;7645;55852;54824;19793;15371;48126
Swietokrzyskie;2023;3;32730;16804;15926;5013;27717;27653;12817;17455;15275
Warminsko-mazurskie;2023;3;37462;20257;17205;4377;33085;30515;13176;19428;18034
Wielkopolskie;2023;3;46799;27601;19198;4955;41844;38801;13395;22220;24579
Zachodniopomorskie;2023;3;38173;21039;17134;4610;33563;32534;14740;15671;22502
Dolnoslaskie;2023;2;52565;27625;24940;44191;4603;47962;20350;19965;32600
Kujawsko-pomorskie;2023;2;53844;31479;22365;44432;6349;47495;21694;26477;27367
Lubelskie;2023;2;56552;28418;28134;50504;10464;46088;25463;30585;25967
Lubuskie;2023;2;15000;8350;6650;12464;1643;13357;4264;6283;8717
Lodzkie;2023;2;55091;28057;27034;47193;5336;49755;22044;18583;36508
Malopolskie;2023;2;61470;34098;27372;53202;9034;52436;23585;32279;29191
Mazowieckie;2023;2;110693;55254;55439;93897;16538;94155;46756;50046;60647
Opolskie;2023;2;20867;11726;9141;18064;2023;18844;8284;9385;11482
Podkarpackie;2023;2;65064;34104;30960;55542;8745;56319;30578;40617;24447
Podlaskie;2023;2;30356;13741;16615;26420;4751;25605;13525;11602;18754
Pomorskie;2023;2;41091;24631;16460;34369;4269;36822;14514;18329;22762
Slaskie;2023;2;63906;34769;29137;54353;7098;56808;20470;15409;48497
Swietokrzyskie;2023;2;33450;17097;16353;28353;4855;28595;13423;17943;15507
Warminsko-mazurskie;2023;2;38907;21089;17818;31372;4339;34568;13723;20118;18789
Wielkopolskie;2023;2;46464;27285;19179;37832;4515;41949;13268;21987;24477
Zachodniopomorskie;2023;2;38200;20968;17232;32460;4377;33823;15204;15831;22369
Dolnoslaskie;2023;1;56607;29632;26975;47875;4944;51663;21008;21556;35051
Kujawsko-pomorskie;2023;1;58087;33721;24366;48428;6437;51650;22967;28533;29554
Lubelskie;2023;1;62094;30994;31100;55550;11341;50753;26855;33733;28361
Lubuskie;2023;1;16758;9165;7593;14037;1759;14999;4530;7146;9612
Lodzkie;2023;1;57352;28955;28397;49392;5436;51916;23011;19618;37734
Malopolskie;2023;1;67769;37084;30685;58784;9987;57782;24747;35617;32152
Mazowieckie;2023;1;119319;59301;60018;101843;17725;101594;49517;53717;65602
Opolskie;2023;1;21675;12133;9542;18879;2061;19614;8542;9728;11947
Podkarpackie;2023;1;70333;36571;33762;59977;9340;60993;32310;44445;25888
Podlaskie;2023;1;32104;14443;17661;27964;4935;27169;13957;12152;19952
Pomorskie;2023;1;45573;27196;18377;38394;4729;40844;14950;20371;25202
Slaskie;2023;1;68678;37141;31537;58720;7515;61163;21739;16597;52081
Swietokrzyskie;2023;1;35260;17787;17473;30061;4816;30444;13809;19007;16253
Warminsko-mazurskie;2023;1;43332;23323;20009;34895;4641;38691;14320;22678;20654
Wielkopolskie;2023;1;50046;28933;21113;41067;4818;45228;13555;23621;26425
Zachodniopomorskie;2023;1;41881;23056;18825;35559;4691;37190;16229;17577;24304
Dolnoslaskie;2022;4;54000;28400;25600;45900;5000;48900;21100;20800;33200
Kujawsko-pomorskie;2022;4;56500;33300;23200;47400;6700;49800;23800;27800;28700
Lubelskie;2022;4;61300;31000;30300;55300;11800;49400;27400;33100;28200
Lubuskie;2022;4;15700;8700;7000;13300;1700;14000;4700;6900;8800
Lodzkie;2022;4;54400;27800;26600;47200;5500;48900;23400;18700;35700
Malopolskie;2022;4;64400;35300;29100;56300;9500;54900;25500;33900;30500
Mazowieckie;2022;4;116500;59000;57500;100200;18300;98200;51300;53000;63500
Opolskie;2022;4;20500;11600;8900;18000;2100;18400;8500;9200;11300
Podkarpackie;2022;4;69000;36100;32900;59200;9700;59400;33000;43800;25200
Podlaskie;2022;4;31200;14200;17000;27100;5100;26100;14000;12100;19100
