region,year,unemployed,unemployed_men,unemployed_women,city_residents,rural_residents,population,men_population,women_population,city_total,city_men,city_women,rural_total,rural_men,rural_women
Lubelskie,2022,62210.5,30604.0,31606.5,29000.25,33210.25,2024600,980200,1044500,935100,438200,496900,1089500,542000,547500
Mazowieckie,2022,121733.25,59502.0,62231.25,67497.0,54236.25,5510600,2638200,2872400,3562900,1667400,1895500,1947700,970800,976900
Slaskie,2022,69928.75,31153.25,38775.5,53380.5,16548.25,4346700,2090900,2255800,3298800,1575700,1723000,1047900,515200,532800
Malopolskie,2022,65685.75,29275.0,36410.75,31806.5,33879.25,3429000,1663100,1765900,1640100,774300,865800,1789000,888800,900200
Warminsko-mazurskie,2022,40039.25,17703.5,22335.75,19248.75,20790.5,1366400,667000,699400,806300,383000,423300,560100,284100,276000
Zachodniopomorskie,2022,40587.5,17575.0,23012.5,23406.75,17180.75,1640600,796200,844400,1117000,532000,585000,523700,264200,259500
Dolnoslaskie,2022,55284.25,25678.75,29605.5,34127.5,21156.75,2888000,1388100,1499900,1950500,921100,1029400,937500,467000,470500
Podlaskie,2022,31691.25,17056.5,14634.75,19696.25,11995.0,1143400,556200,587200,695800,330100,365700,447600,226100,221500
Kujawsko-pomorskie,2022,56986.75,23010.5,33976.25,29319.25,27667.5,2006900,971000,1035800,1166300,549400,616900,840500,421600,418900
Lodzkie,2022,57732.5,28286.5,29446.0,39001.5,18731.0,2378500,1133300,1245200,1468800,681700,787100,909700,451600,458100
Wielkopolskie,2022,46390.25,18797.75,27592.5,24701.5,21688.75,3493600,1697300,1796300,1862000,882900,979100,1631600,814400,817200
Lubuskie,2022,16147.25,6994.5,9152.75,9246.25,6901.0,980000,475700,504300,629700,299900,329700,350300,175800,174500
Opolskie,2022,20696.25,8875.75,11820.5,11425.75,9270.5,942400,455500,486900,498500,236200,262300,444000,219300,224600
Pomorskie,2022,43046.5,16584.75,26461.75,23743.25,19303.25,2358300,1145600,1212700,1475700,701900,773800,882600,443700,438800
Podkarpackie,2022,70629.0,32990.0,37639.0,26332.75,44296.25,2079100,1017600,1061500,854200,407800,446400,1224900,609800,615000
Swietokrzyskie,2022,34747.0,16832.5,17914.5,16097.25,18649.75,1178200,573300,604900,528200,249000,279200,650000,324300,325700
